NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
SQUARE DE LA RAFFINERIE SAY,147 BOULEVARD VINCENT AURIOL,75013,PW0174,1,48.8325693774,2.36204340104
SQUARE GEORGES DUHAMEL,RUE JEAN ANOUILH,75013,PW0171,1,48.8319158284,2.37761188927
PERMIS DE CONSTRUIRE - USAGER,6 PLACE LEVI STRAUSS,75013,PW0223,1,48.8304183053,2.37528632402
PREFOURRIERE CHARLETY,8 RUE THOMIRE,75013,,1,48.819396456,2.34838164871
BIBLIOTHEQUE ITALIE,213 BOULEVARD VINCENT AURIOL,75013,PW0114,1,48.830786809,2.35675447673
CENTRE SPORTIF GEORGES CARPENTIER - BATIMENT TENNIS,81 BOULEVARD MASSENA,75013,PW0103-2,1,48.8204906699,2.3673087496
SQUARE GUSTAVE MESUREUR,105 RUE JEANNE D ARC,75013,PW0178,1,48.8338461546,2.3627918953
SQUARE RENE LEGALL,43 RUE CORVISART,75013,PW0069,1,48.8322068,2.34741976643
SQUARE HENRI CADIOU,69 BOULEVARD ARAGO,75013,PW0172,2,48.8346490481,2.34222254283
STADE CHARLETY,99 BOULEVARD KELLERMANN,75013,PW0169-1,5,48.8190213359,2.34509522033
PROMENADE PISCINE JOSEPHINE BAKER,QUAI FRANCOIS MAURIAC,75013,,1,48.836030316,2.37589085119
FOURRIERE CHEVALERET,5 SQUARE DUNOIS,75013,,1,48.8337531924,2.36694211219
SQUARE HELOISE ET ABELARD - PARIS NATURE MAISON DES 5 SENS,22 RUE PIERRE GOURDAULT,75013,PW0066,1,48.8309190436,2.37010695364
BIBLIOTHEQUE MELVILLE ET MARGUERITE DURAND,79 RUE NATIONALE,75013,PW0221,3,48.8267869711,2.36643991184
PARC DE CHOISY,160 AVENUE DE CHOISY,75013,PW0062,2,48.827750994,2.35959561395
MAIRIE DU 13 EME,1 PLACE D ITALIE,75013,PW0013,2,48.8323144109,2.35531334924
SQUARE JEAN CLAUDE NICOLAS FORESTIER,79 BOULEVARD KELLERMANN,75013,PW0179,2,48.8198305601,2.34775475511
PARC DE CHOISY,160 AVENUE DE CHOISY,75013,PW0157,2,48.8281858231,2.3586267374
SQUARE PAUL GRIMAULT,20 RUE DE LA FONTAINE A MULARD,75013,PW0180,1,48.8230435797,2.3487751246
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  13,11 RUE CAILLAUX,75013,PW0039,1,48.8226333452,2.36131811251
CENTRE SPORTIF CHARLES MOUREU,17 AVENUE EDISON,75013,PW0074,1,48.8278012364,2.36413466138
CENTRE SPORTIF GEORGES CARPENTIER,81 BOULEVARD MASSENA,75013,PW0103,3,48.8202371888,2.36812515131
CENTRE SPORTIF GEORGES CARPENTIER - BUREAU,81 BOULEVARD MASSENA (BUREAU CENTRE SPORTIF),75013,PW0103-1,2,48.8209032702,2.36844617431
